"시점",계,15 - 19세,20 - 29세,30 - 39세,40 - 49세,50 - 59세,60세이상,15 - 64세,15 - 24세,15 - 29세
"시점",계,계,계,계,계,계,계,계,계,계
"1999.06",6.7,22.8,10.3,5.8,5.6,5.7,2.7,7.0,14.5,11.3
"1999.07",6.7,23.9,10.2,5.3,5.4,5.9,2.4,7.0,15.4,11.5
"1999.08",6.2,18.1,9.9,5.2,5.2,5.2,2.0,6.5,13.1,10.7
"1999.09",5.2,13.7,8.4,4.3,4.4,4.3,2.2,5.4,11.2,8.9
"1999.10",5.0,13.1,8.2,4.2,3.9,4.2,2.2,5.2,11.0,8.6
"1999.11",4.8,13.8,8.4,3.8,3.9,3.5,1.7,5.0,11.3,8.8
"1999.12",5.2,19.0,9.4,3.6,3.8,3.8,2.2,5.4,14.0,10.3
"2000.01",5.7,19.7,10.1,4.2,4.0,4.1,2.3,5.9,14.7,11.0
"2000.02",5.7,15.0,9.6,4.5,4.5,4.1,2.5,5.9,12.7,10.1
"2000.03",5.1,15.7,8.6,4.2,3.9,3.7,2.2,5.3,12.3,9.2
"2000.04",4.5,14.8,7.7,3.5,3.6,3.5,1.5,4.7,11.0,8.3
"2000.05",4.1,12.5,7.0,3.6,3.4,2.7,1.3,4.3,9.9,7.5
"2000.06",3.9,13.1,6.6,3.3,3.3,2.8,1.0,4.1,9.8,7.1
"2000.07",4.0,16.1,6.5,3.1,3.1,3.2,1.0,4.1,10.5,7.5
"2000.08",4.1,14.0,6.8,3.4,3.2,3.2,1.1,4.3,10.0,7.4
"2000.09",4.0,12.9,6.6,3.6,3.2,3.3,1.2,4.2,9.5,7.1
"2000.10",3.7,11.0,6.4,3.2,3.1,2.8,1.2,3.9,9.0,6.7
"2000.11",3.9,10.6,6.6,3.4,3.2,2.6,1.3,4.0,8.8,6.9
"2000.12",4.4,16.7,7.4,3.6,3.5,2.9,1.6,4.6,11.4,8.2
"2001.01",5.1,16.3,8.4,3.7,4.2,3.6,2.2,5.2,12.0,9.1
"2001.02",5.5,18.9,9.0,4.3,4.5,4.1,1.9,5.7,13.2,9.8
"2001.03",5.1,19.5,8.7,4.1,4.0,3.8,1.5,5.3,12.9,9.5
"2001.04",4.1,15.3,7.2,3.4,3.3,2.6,1.3,4.3,10.2,7.8
"2001.05",3.7,12.4,6.9,3.0,2.7,2.6,1.0,3.9,9.3,7.3
"2001.06",3.6,14.4,6.7,3.0,2.4,2.7,0.8,3.8,9.3,7.3
"2001.07",3.6,13.9,6.5,3.0,2.6,2.7,1.0,3.8,9.5,7.2
"2001.08",3.6,10.9,6.7,3.2,2.9,2.5,0.7,3.8,8.3,7.0
"2001.09",3.3,12.4,6.3,2.7,2.5,2.1,1.1,3.5,8.8,6.8
"2001.10",3.3,10.6,6.5,2.8,2.3,2.4,1.1,3.5,8.5,6.8
"2001.11",3.4,10.1,7.1,2.7,2.2,2.2,0.9,3.5,9.3,7.4
"2001.12",3.7,15.6,7.7,2.8,2.2,2.4,1.3,3.9,11.1,8.3
"2002.01",4.1,14.7,8.3,3.2,2.4,2.6,1.2,4.3,11.5,8.9
"2002.02",4.1,13.4,7.9,3.3,2.5,2.7,1.7,4.2,10.6,8.4
"2002.03",3.8,13.9,7.4,3.2,2.5,2.5,1.7,3.9,10.2,7.8
"2002.04",3.4,12.9,6.6,2.9,2.1,2.2,1.4,3.5,8.4,7.1
"2002.05",3.1,9.4,6.2,2.9,2.0,2.1,1.0,3.3,7.5,6.4
"2002.06",2.9,10.8,6.0,2.7,1.8,1.6,0.8,3.1,7.6,6.3
"2002.07",3.0,12.5,6.2,2.6,1.8,1.7,1.0,3.2,8.7,6.7
"2002.08",3.2,10.1,6.2,3.1,2.1,1.9,1.0,3.3,8.0,6.5
"2002.09",2.7,9.0,5.6,2.6,1.8,1.4,0.9,2.9,6.7,5.8
"2002.10",2.8,9.4,6.0,2.9,1.7,1.4,0.7,3.0,7.1,6.2
"2002.11",2.9,11.7,5.9,2.9,1.6,1.5,0.7,3.0,6.7,6.2
"2002.12",3.1,13.9,6.6,2.7,1.7,1.9,0.9,3.3,8.3,7.0
"2003.01",3.7,13.4,8.4,2.8,2.0,2.2,1.1,3.9,10.9,8.7
"2003.02",3.8,12.2,8.8,2.9,2.1,2.3,0.9,4.0,11.1,9.0
"2003.03",3.7,12.1,8.2,2.9,2.2,2.6,1.0,3.9,10.5,8.4
"2003.04",3.5,9.9,7.5,3.0,2.1,2.2,1.0,3.6,8.8,7.6
"2003.05",3.4,9.5,7.4,2.9,2.2,2.1,0.9,3.6,9.0,7.5
"2003.06",3.4,15.2,7.2,2.9,2.2,2.2,0.8,3.6,9.9,7.6
"2003.07",3.6,16.0,7.3,2.9,2.2,2.2,1.0,3.7,10.2,7.9
"2003.08",3.5,9.7,7.2,3.1,2.5,2.2,0.9,3.7,9.2,7.4
"2003.09",3.3,10.5,6.7,3.1,2.2,2.2,1.0,3.5,8.4,6.9
"2003.10",3.4,12.8,7.1,3.2,2.1,2.0,1.1,3.6,9.4,7.5
"2003.11",3.5,15.7,7.7,3.0,2.2,1.8,1.1,3.7,10.8,8.2
"2003.12",3.8,16.7,8.3,3.0,2.2,2.0,1.3,3.9,11.9,8.9
"2004.01",4.0,16.9,8.6,3.1,2.2,2.2,1.4,4.1,12.2,9.3
"2004.02",4.1,14.7,9.1,3.1,2.6,2.6,1.5,4.3,12.0,9.4
"2004.03",4.0,17.0,8.7,2.9,2.8,2.5,1.2,4.2,12.3,9.1
"2004.04",3.7,12.8,7.8,3.2,2.3,2.4,1.2,3.8,10.6,8.0
"2004.05",3.5,10.8,8.0,2.8,2.2,2.2,1.2,3.7,10.3,8.1
"2004.06",3.4,18.0,7.4,2.7,2.0,2.1,1.1,3.5,10.7,8.0
"2004.07",3.6,15.5,7.3,3.2,2.3,2.3,1.2,3.8,10.1,7.9
"2004.08",3.6,10.1,7.5,3.3,2.5,2.3,1.1,3.8,9.1,7.6
"2004.09",3.3,8.4,6.9,3.1,2.2,2.1,1.1,3.5,8.3,7.0
"2004.10",3.4,10.3,7.4,3.1,2.1,2.1,0.9,3.6,8.9,7.5
"2004.11",3.5,11.7,7.4,3.0,2.2,2.2,1.0,3.6,8.6,7.6
"2004.12",3.8,19.0,8.1,3.3,2.2,2.4,1.0,4.0,11.5,8.8
"2005.01",4.3,19.6,8.4,3.5,2.8,2.6,1.3,4.4,12.5,9.3
"2005.02",4.3,13.4,8.8,3.7,2.9,2.8,1.3,4.5,11.8,9.0
"2005.03",4.1,14.5,8.5,3.4,2.8,2.7,1.3,4.3,11.1,8.8
"2005.04",3.8,10.4,8.0,3.4,2.5,2.7,1.2,4.0,10.3,8.1
"2005.05",3.6,10.1,7.2,3.1,2.5,2.4,1.8,3.7,8.8,7.4
"2005.06",3.6,14.2,7.4,3.0,2.5,2.5,1.9,3.8,10.1,7.7
"2005.07",3.7,14.2,7.8,2.9,2.5,2.4,1.5,3.9,10.9,8.3
"2005.08",3.6,7.6,7.4,3.3,2.4,2.6,1.1,3.7,8.4,7.4
"2005.09",3.6,7.4,7.1,3.7,2.4,2.8,1.1,3.8,8.4,7.1
"2005.10",3.6,7.6,7.2,3.5,2.7,2.4,1.2,3.8,8.6,7.2
"2005.11",3.3,7.7,7.3,3.1,2.1,2.1,1.0,3.4,8.9,7.3
"2005.12",3.5,15.1,7.6,3.1,2.2,2.3,1.1,3.7,11.3,8.0
"2006.01",3.8,12.4,7.8,3.2,2.4,2.7,1.3,3.9,11.1,8.1
"2006.02",4.1,11.2,8.6,3.5,2.6,3.0,2.0,4.3,11.8,8.8
"2006.03",3.9,8.5,8.5,3.5,2.7,2.3,1.7,4.1,11.2,8.5
"2006.04",3.5,7.0,8.0,2.8,2.5,2.3,1.6,3.7,9.6,8.0
"2006.05",3.2,6.5,7.2,2.7,2.2,2.2,1.7,3.4,8.5,7.2
"2006.06",3.4,13.4,7.7,2.8,2.3,1.8,1.5,3.5,9.6,7.9
"2006.07",3.4,10.6,8.0,2.8,2.3,1.8,1.5,3.6,10.2,8.1
"2006.08",3.4,5.9,7.5,3.1,2.5,2.0,1.3,3.6,9.1,7.4
"2006.09",3.2,8.5,7.3,3.1,2.1,1.7,1.1,3.4,9.5,7.3
"2006.10",3.3,13.7,7.9,2.9,2.1,1.8,1.1,3.5,10.0,8.1
"2006.11",3.2,11.3,7.4,2.9,2.0,1.9,1.2,3.4,9.0,7.6
"2006.12",3.3,15.7,7.5,2.7,2.1,2.3,1.1,3.5,10.4,7.9
"2007.01",3.6,9.4,7.3,3.5,2.3,2.5,1.8,3.8,9.5,7.5
"2007.02",3.7,10.4,7.7,3.4,2.4,2.4,1.8,3.8,9.5,7.8
"2007.03",3.5,9.1,7.4,3.6,2.2,2.3,1.7,3.7,9.7,7.4
"2007.04",3.4,8.0,7.6,3.4,2.0,2.2,1.1,3.5,9.7,7.6
"2007.05",3.2,6.2,7.0,3.2,1.9,2.3,1.3,3.4,8.2,7.0
"2007.06",3.2,8.3,7.1,3.1,1.9,2.2,1.1,3.4,8.4,7.2
"2007.07",3.3,13.5,7.2,3.0,1.9,2.1,1.3,3.4,9.7,7.6
"2007.08",3.1,9.4,6.6,3.2,2.2,1.9,1.2,3.3,7.9,6.8
"2007.09",3.0,7.5,7.0,2.9,1.9,1.7,1.1,3.2,8.2,7.0
"2007.10",3.0,7.2,6.5,3.0,1.9,2.0,1.4,3.2,7.2,6.5
"2007.11",3.0,8.4,7.0,2.8,1.9,1.7,1.3,3.2,7.9,7.0
"2007.12",3.1,11.6,7.0,2.9,1.9,1.8,1.4,3.2,8.6,7.2
"2008.01",3.3,11.2,6.8,3.1,2.2,1.9,1.4,3.4,9.2,7.1
"2008.02",3.5,7.3,7.4,3.1,2.6,2.0,2.0,3.6,9.3,7.4
"2008.03",3.4,5.9,7.7,3.1,2.4,2.0,1.4,3.5,9.9,7.6
"2008.04",3.2,7.8,7.4,3.0,2.2,1.9,1.2,3.4,8.8,7.4
"2008.05",3.1,5.7,6.9,3.1,2.0,1.8,1.2,3.2,8.2,6.9
"2008.06",3.1,15.8,7.3,2.8,1.9,1.8,1.2,3.2,11.1,7.7
"2008.07",3.1,12.4,7.0,2.9,2.0,2.0,1.0,3.3,10.4,7.3
"2008.08",3.1,8.6,6.9,3.2,2.1,2.0,0.9,3.3,9.3,7.0
"2008.09",3.0,8.7,6.0,3.2,2.0,2.1,1.0,3.1,7.5,6.2
"2008.10",3.0,6.2,6.7,3.3,2.0,1.9,0.9,3.2,7.8,6.7
"2008.11",3.0,11.6,6.6,3.4,1.9,2.0,1.1,3.2,8.5,6.8
"2008.12",3.3,19.0,7.0,3.1,2.1,2.3,1.3,3.4,11.1,7.5
"2009.01",3.6,16.7,7.7,3.5,2.2,2.3,1.4,3.7,11.2,8.2
"2009.02",3.9,11.6,8.5,3.8,2.5,2.6,2.0,4.0,10.7,8.7
"2009.03",4.0,12.1,8.7,4.0,2.9,2.4,1.4,4.2,10.6,8.8
"2009.04",3.8,9.6,7.9,4.1,2.6,2.6,1.5,4.0,9.3,8.0
"2009.05",3.8,7.7,7.5,3.7,2.8,2.8,2.1,3.9,9.1,7.5
"2009.06",3.8,19.1,7.9,3.8,2.5,2.8,1.9,4.0,10.8,8.4
"2009.07",3.7,15.9,8.0,3.6,2.3,2.7,1.6,3.9,10.6,8.4
"2009.08",3.7,9.6,8.0,3.7,2.5,2.5,1.5,3.9,9.2,8.0
"2009.09",3.3,5.0,7.6,3.3,2.3,2.3,1.5,3.5,8.6,7.5
"2009.10",3.2,8.0,7.4,3.3,2.2,2.1,1.3,3.4,8.3,7.4
"2009.11",3.3,13.5,7.3,3.4,2.3,2.1,1.3,3.5,9.6,7.6
"2009.12",3.5,13.6,7.2,3.4,2.3,2.4,1.9,3.6,10.0,7.5
"2010.01",5.0,18.7,8.6,3.8,2.9,3.7,8.7,4.7,12.9,9.3
"2010.02",4.8,12.6,9.7,4.0,3.0,3.2,5.9,4.7,12.4,9.9
"2010.03",4.1,12.2,8.8,3.8,2.9,2.6,3.0,4.2,11.1,8.9
"2010.04",3.7,12.3,8.3,3.8,2.4,2.3,2.2,3.9,10.5,8.5
"2010.05",3.2,7.9,6.3,3.4,2.2,2.0,1.9,3.3,7.4,6.4
"2010.06",3.5,20.3,7.5,3.4,2.2,2.0,2.0,3.6,11.3,8.2
"2010.07",3.7,11.6,8.2,3.4,2.4,2.5,2.2,3.8,10.1,8.4
"2010.08",3.3,5.7,7.0,3.7,2.3,2.1,1.8,3.5,7.9,7.0
"2010.09",3.4,7.1,7.2,3.5,2.7,2.3,1.9,3.6,7.9,7.2
"2010.10",3.3,5.9,7.0,3.4,2.4,2.4,1.8,3.5,7.6,7.0
"2010.11",3.0,6.7,6.4,3.0,2.1,2.0,1.7,3.1,6.7,6.4
"2010.12",3.5,17.1,7.4,3.2,2.2,2.4,2.1,3.6,10.5,8.0
"2011.01",3.8,14.6,8.0,3.6,2.1,2.5,3.2,3.8,11.4,8.5
"2011.02",4.5,11.5,8.3,4.2,2.7,2.8,6.4,4.2,11.0,8.5
"2011.03",4.3,11.4,9.3,4.1,2.6,2.8,3.8,4.3,11.5,9.4
"2011.04",3.7,8.5,8.7,3.9,2.3,2.1,2.3,3.8,9.9,8.7
"2011.05",3.2,5.8,7.4,3.2,2.0,2.1,2.1,3.3,7.6,7.3
"2011.06",3.3,12.5,7.3,3.4,2.1,1.9,2.2,3.4,10.4,7.6
"2011.07",3.3,16.1,6.9,3.1,2.0,2.0,2.4,3.4,11.1,7.6
"2011.08",3.0,7.7,6.2,3.4,2.0,2.0,1.8,3.2,7.9,6.3
"2011.09",3.0,8.1,6.2,3.1,2.0,2.2,2.2,3.1,8.0,6.3
"2011.10",2.9,7.8,6.6,2.9,2.0,1.8,1.7,3.0,8.3,6.7
"2011.11",2.9,7.8,6.7,2.9,1.9,1.7,1.8,3.0,8.4,6.7
"2011.12",3.0,12.6,7.4,2.8,1.8,1.8,1.8,3.1,10.0,7.7
"2012.01",3.5,12.7,7.6,2.9,2.3,2.0,3.3,3.4,10.3,8.0
"2012.02",4.2,9.1,8.2,3.4,2.6,2.5,6.6,3.9,10.1,8.3
"2012.03",3.7,9.4,8.3,3.4,2.4,2.5,3.3,3.7,10.3,8.3
"2012.04",3.5,6.5,8.6,3.3,2.1,2.3,2.2,3.6,9.8,8.4
"2012.05",3.1,6.0,8.1,3.1,1.8,1.8,1.7,3.3,9.3,8.0
"2012.06",3.2,9.6,7.6,3.0,2.1,2.0,1.9,3.3,9.3,7.7
"2012.07",3.1,11.0,7.0,2.9,1.8,2.1,2.1,3.2,9.7,7.3
"2012.08",3.0,5.8,6.5,2.8,2.0,2.3,2.1,3.1,7.7,6.4
"2012.09",2.9,8.8,6.5,2.7,2.1,2.2,1.7,3.1,7.5,6.7
"2012.10",2.8,6.7,6.9,2.7,1.8,1.9,1.5,2.9,7.2,6.8
"2012.11",2.8,7.8,6.7,2.8,1.9,1.8,1.5,2.9,7.1,6.7
"2012.12",2.9,11.3,7.2,2.7,1.7,1.8,1.9,3.0,9.4,7.5
"2013.01",3.4,10.2,7.3,3.3,2.0,2.2,3.3,3.3,9.2,7.5
"2013.02",3.9,10.0,9.0,3.5,2.1,2.6,4.6,3.8,10.6,9.0
"2013.03",3.5,8.6,8.5,3.2,2.3,2.2,2.3,3.6,11.1,8.5
"2013.04",3.2,13.2,8.1,3.1,2.2,1.9,1.3,3.3,10.7,8.3
"2013.05",3.0,10.2,7.2,3.0,2.1,1.9,1.7,3.2,8.5,7.4
"2013.06",3.1,10.2,7.7,3.0,2.1,1.7,1.9,3.2,8.8,7.9
"2013.07",3.1,14.8,7.7,3.0,2.1,1.9,1.2,3.3,10.5,8.2
"2013.08",3.0,8.1,7.5,3.1,2.0,1.9,1.2,3.2,8.7,7.6
"2013.09",2.7,6.6,7.8,2.5,1.7,1.6,1.2,2.9,8.0,7.7
"2013.10",2.7,6.5,7.8,2.6,1.7,1.5,1.3,2.9,8.3,7.8
"2013.11",2.6,7.3,7.5,2.6,1.6,1.5,1.2,2.8,7.5,7.5
"2013.12",3.0,15.3,8.0,2.7,1.8,1.5,1.7,3.1,10.2,8.5
"2014.01",3.4,16.6,8.0,2.6,2.0,2.0,4.0,3.4,11.1,8.7
"2014.02",4.5,10.5,10.9,3.6,2.4,2.3,6.1,4.2,12.4,10.8
"2014.03",3.9,7.3,10.0,3.4,2.4,2.4,3.0,4.0,11.4,9.9
"2014.04",3.8,8.1,10.1,3.6,2.6,2.3,2.1,4.0,10.8,10.0
"2014.05",3.5,5.2,8.9,3.3,2.6,2.4,1.8,3.7,9.4,8.7
"2014.06",3.5,8.7,9.6,3.3,2.1,2.3,1.7,3.7,10.5,9.5
"2014.07",3.4,10.7,8.7,3.2,2.1,2.1,1.6,3.6,9.8,8.9
"2014.08",3.3,7.5,8.5,3.1,2.2,2.2,1.6,3.5,8.5,8.4
"2014.09",3.1,6.1,8.6,2.8,2.0,2.1,1.5,3.3,8.9,8.5
"2014.10",3.2,6.2,8.1,3.0,2.0,2.3,1.8,3.3,8.5,8.0
"2014.11",3.0,6.8,8.0,2.6,2.2,2.2,1.3,3.2,8.5,7.9
"2014.12",3.3,13.5,8.7,2.7,2.2,2.3,1.9,3.5,10.4,9.0
"2015.01",3.7,10.7,9.0,2.8,2.2,2.6,4.0,3.7,11.4,9.1
"2015.02",4.5,11.6,11.0,3.3,2.5,2.8,5.5,4.3,13.5,11.0
"2015.03",4.0,11.1,10.6,3.3,2.6,2.5,2.8,4.1,12.3,10.7
"2015.04",3.9,9.0,10.2,3.6,2.4,2.5,2.3,4.0,11.4,10.2
"2015.05",3.7,6.7,9.4,3.1,2.7,2.6,2.3,3.9,9.6,9.3
"2015.06",3.8,15.3,9.8,3.3,2.3,2.7,2.1,4.0,12.4,10.2
"2015.07",3.6,14.9,8.9,2.9,2.4,2.5,2.3,3.8,10.9,9.3
"2015.08",3.4,10.1,7.8,3.0,2.5,2.5,2.0,3.6,8.5,8.0
"2015.09",3.2,9.1,7.9,3.1,2.1,2.1,1.8,3.3,8.8,7.9
"2015.10",3.1,8.1,7.4,2.9,2.0,2.0,2.2,3.2,8.4,7.4
"2015.11",3.0,7.3,8.2,2.9,1.8,1.8,1.9,3.2,9.1,8.1
"2015.12",3.2,11.1,8.3,2.7,2.2,1.9,2.1,3.3,9.7,8.4
"2016.01",3.7,10.2,9.4,2.7,2.1,2.4,3.7,3.7,11.0,9.5
"2016.02",4.9,13.0,12.4,3.4,2.7,2.6,6.1,4.6,13.4,12.5
"2016.03",4.2,14.6,11.6,3.3,2.5,2.7,2.9,4.4,13.5,11.8
"2016.04",3.9,11.7,10.9,3.3,2.3,2.4,2.3,4.1,11.6,10.9
"2016.05",3.6,10.7,9.7,3.1,2.2,2.4,2.4,3.8,10.3,9.7
"2016.06",3.6,9.7,10.4,3.1,1.9,2.3,2.0,3.8,11.5,10.3
"2016.07",3.5,8.3,9.3,3.1,2.0,2.4,2.2,3.7,10.6,9.3
"2016.08",3.6,8.2,9.4,3.2,2.1,2.3,2.4,3.7,10.0,9.3
"2016.09",3.5,7.6,9.5,3.2,2.1,2.3,2.3,3.7,10.3,9.4
"2016.10",3.3,9.2,8.5,3.3,2.0,2.1,2.1,3.5,9.2,8.5
"2016.11",3.1,7.6,8.1,3.0,1.7,2.0,2.1,3.2,8.0,8.1
"2016.12",3.2,8.7,8.4,3.0,1.9,1.8,2.1,3.3,8.5,8.4
"2017.01",3.7,9.9,8.5,3.3,2.1,2.2,4.7,3.6,9.0,8.6
"2017.02",4.9,10.0,12.4,3.7,2.6,2.3,7.0,4.5,13.4,12.3
"2017.03",4.1,11.3,11.3,3.8,2.5,2.1,2.7,4.2,12.4,11.3
"2017.04",4.2,10.0,11.3,4.0,2.7,2.3,2.4,4.4,12.2,11.2
"2017.05",3.6,5.8,9.5,3.1,2.3,2.3,2.3,3.7,10.2,9.2
"2017.06",3.8,9.2,10.5,3.2,2.1,2.5,2.3,3.9,11.1,10.4
"2017.07",3.4,10.3,9.2,2.9,1.9,2.2,2.4,3.6,9.4,9.3
"2017.08",3.6,9.8,9.4,3.3,2.1,2.4,2.3,3.7,9.4,9.4
"2017.09",3.3,6.3,9.3,2.8,1.9,2.3,2.0,3.5,9.1,9.2
"2017.10",3.2,6.3,8.7,3.0,1.8,2.0,2.3,3.3,8.9,8.6
"2017.11",3.1,5.7,9.4,2.9,1.8,1.6,1.9,3.3,8.8,9.2
"2017.12",3.3,7.1,9.3,3.0,1.8,1.9,2.5,3.4,9.5,9.2
"2018.01",3.7,11.1,8.6,3.1,2.2,2.2,4.6,3.6,9.6,8.7
"2018.02",4.6,11.7,9.6,3.2,2.6,2.5,8.0,4.0,12.1,9.8
"2018.03",4.5,11.6,11.6,3.7,2.8,2.8,3.8,4.6,13.3,11.6
"2018.04",4.1,10.3,10.7,3.7,2.7,2.6,2.7,4.3,10.9,10.7
"2018.05",4.0,9.0,10.6,3.7,2.4,2.6,2.4,4.2,10.9,10.5
"2018.06",3.7,6.8,9.1,3.5,2.3,2.6,2.4,3.9,9.9,9.0
"2018.07",3.7,10.7,9.2,3.5,2.5,2.4,2.2,3.9,10.8,9.3
"2018.08",4.0,11.4,9.9,3.7,2.7,2.9,2.3,4.3,11.5,10.0
"2018.09",3.6,5.9,9.0,3.6,2.4,2.4,2.5,3.8,9.7,8.8
"2018.10",3.5,5.8,8.5,3.3,2.4,2.4,2.3,3.6,8.9,8.4
"2018.11",3.2,4.7,8.1,2.9,2.2,2.2,2.3,3.4,8.5,7.9
"2018.12",3.4,9.2,8.6,2.8,2.3,2.4,2.6,3.5,9.7,8.6
"2019.01",4.5,11.9,8.7,3.0,2.6,2.9,7.4,4.0,10.4,8.9
"2019.02",4.7,12.7,9.3,3.5,2.8,3.2,6.8,4.3,11.7,9.5
"2019.03",4.3,10.2,10.9,3.7,2.5,3.0,3.2,4.4,12.9,10.8
"2019.04",4.4,8.6,11.7,4.0,2.5,2.9,3.0,4.6,13.2,11.5
"2019.05",4.0,7.1,10.1,3.7,2.4,2.6,3.2,4.2,11.2,9.9
"2019.06",4.0,8.2,10.5,3.7,2.4,2.4,3.0,4.2,12.2,10.4
"2019.07",3.9,12.0,9.7,3.7,2.3,2.5,2.6,4.1,11.6,9.8
"2019.08",3.0,7.5,7.1,3.0,1.9,2.3,2.0,3.2,8.1,7.2
"2019.09",3.1,5.9,7.4,2.8,2.2,2.3,2.3,3.3,8.2,7.3
"2019.10",3.0,4.9,7.3,3.0,1.9,2.2,2.2,3.2,8.0,7.2
"2019.11",3.1,4.6,7.1,2.9,2.1,2.2,2.1,3.2,8.2,7.0
"2019.12",3.4,6.9,7.3,2.7,1.9,2.2,4.2,3.2,9.2,7.3
"2020.01",4.1,10.6,7.5,2.9,2.0,2.8,7.1,3.5,9.5,7.7
"2020.02",4.1,8.9,9.0,3.3,2.4,2.9,4.8,4.0,11.3,9.0
"2020.03",4.2,13.5,9.7,3.3,2.7,3.2,4.1,4.2,12.4,9.9
"2020.04",4.2,12.7,9.1,3.5,2.8,3.6,3.7,4.3,12.4,9.3
"2020.05",4.5,7.5,10.3,3.9,2.9,3.7,3.7,4.7,11.8,10.2
"2020.06",4.3,5.3,11.0,3.7,2.8,3.3,3.1,4.5,11.6,10.7
"2020.07",4.0,9.7,9.7,3.4,2.7,3.2,2.8,4.2,10.6,9.7
"2020.08",3.1,8.0,7.7,2.9,2.1,2.2,2.0,3.3,8.5,7.7
"2020.09",3.6,9.2,8.9,3.6,2.4,2.4,2.3,3.8,10.1,8.9
"2020.10",3.7,6.3,8.4,4.0,2.6,2.6,2.4,3.9,9.0,8.3
"2020.11",3.4,5.9,8.2,3.7,2.3,2.4,2.2,3.7,9.0,8.1
"2020.12",4.1,6.9,8.2,3.8,2.4,2.7,5.3,3.8,9.9,8.1
"2021.01",5.7,13.8,9.3,4.3,2.8,3.6,10.8,4.7,12.1,9.5
"2021.02",4.9,12.1,10.0,4.0,2.7,3.8,5.8,4.7,11.6,10.1
"2021.03",4.3,11.5,10.0,4.1,2.7,3.1,3.5,4.5,11.4,10.0
"2021.04",4.0,9.3,10.0,3.6,2.6,2.7,3.2,4.2,10.8,10.0
"2021.05",4.0,8.9,9.3,3.3,2.9,2.9,3.3,4.2,9.3,9.3
"2021.06",3.8,9.5,8.8,3.0,2.6,2.9,3.1,4.0,9.2,8.9
"2021.07",3.2,9.1,7.1,3.0,2.2,2.4,2.6,3.4,7.1,7.2
"2021.08",2.6,5.9,5.8,2.8,1.8,1.9,1.9,2.8,6.0,5.8
"2021.09",2.7,6.6,5.3,2.5,1.9,2.2,2.2,2.8,5.1,5.4
"2021.10",2.8,4.5,5.7,3.0,2.1,2.1,2.0,2.9,6.7,5.6
"2021.11",2.6,6.0,5.5,2.8,2.0,1.9,1.6,2.7,6.1,5.5
"2021.12",3.5,7.0,5.7,2.6,1.9,1.8,6.4,2.8,6.8,5.7
"2022.01",4.1,11.1,5.7,2.6,2.3,2.2,8.4,3.1,8.3,6.0
"2022.02",3.4,9.9,6.7,2.6,2.2,2.0,4.3,3.2,8.6,6.9
"2022.03",3.0,10.1,7.0,2.6,2.1,1.7,3.0,3.1,9.2,7.2
"2022.04",3.0,8.0,7.4,3.0,2.1,1.7,2.1,3.2,8.1,7.4
"2022.05",3.0,5.3,7.3,3.2,2.1,1.7,2.2,3.2,8.3,7.2
"2022.06",3.0,3.7,7.0,3.1,2.3,2.0,2.2,3.2,7.6,6.9
"2022.07",2.9,9.3,6.6,3.0,2.1,1.7,1.9,3.0,7.0,6.8
"2022.08",2.1,4.0,5.4,2.6,1.6,1.3,1.0,2.3,5.0,5.4
"2022.09",2.4,3.4,6.2,2.6,1.8,1.5,1.4,2.6,6.0,6.1
"2022.10",2.4,2.7,5.7,2.7,1.8,1.5,1.5,2.6,5.4,5.6
"2022.11",2.3,1.8,5.9,2.5,1.8,1.4,1.3,2.5,5.4,5.7
"2022.12",3.0,5.4,5.2,2.3,1.9,1.4,5.2,2.4,5.1,5.2
"2023.01",3.6,9.1,5.8,2.6,2.2,1.9,6.4,2.9,6.5,5.9
